time,open,high,low,close
2013-02-08,22.4,23.5,22.24,23.14
2013-02-09,23.46,23.8,22.85,23.7
2013-02-10,23.74,23.94,23.16,23.94
2013-02-11,23.94,25.85,23.87,25.47
2013-02-12,25.33,25.97,25,25
2013-02-13,25,27.5,22.42,27.4
2013-02-14,27.4,27.56,26.72,27
2013-02-15,27.43,27.58,26.71,27.5
2013-02-16,27.36,27.5,25.25,26.98
2013-02-17,26.81,27,26.29,26.92
2013-02-18,26.92,29.5,26.7,29.39
2013-02-19,29.39,30.07,29.21,30
2013-02-20,30,30.14,29.6,30
2013-02-21,29.96,31.49,29.9,30.4
2013-02-22,30.37,30.44,27.67,29.54
2013-02-23,29.55,30.37,29.08,29.78
2013-02-24,29.79,30.49,29.78,30.43
2013-02-25,30.43,32,29.85,31.1
2013-02-26,31.01,31.77,30.45,31.31
2013-02-27,31.31,34.42,31.31,33.53
2013-02-28,33.53,34.75,33.25,34.55
2013-03-01,34.55,34.77,33.6,34.16
2013-03-02,34.29,34.34,33.91,34.33
2013-03-03,34.33,37,34.24,36.52
2013-03-04,36.56,41,36.53,40.75
2013-03-05,40.66,49.17,40.66,42.32
2013-03-06,42.31,46,33,41.68
2013-03-07,41.68,44.37,40.56,43.76
2013-03-08,43.77,46,42,46
2013-03-09,45.76,47,45,45.29
2013-03-10,45.97,48.38,45.6,48.25
2013-03-11,48.15,48.25,36,44.84
2013-03-12,44.29,47.09,44.2,46.99
2013-03-13,46.99,47.97,46.8,46.95
2013-03-14,46.95,47.29,46.9,46.9
2013-03-15,46.93,47,46.58,46.74
2013-03-16,46.7,47.24,46.7,47.24
2013-03-17,47.24,51.1,46.98,50.35
2013-03-18,49.87,60,48,59.41
2013-03-19,59.46,67.99,58.86,64.2
2013-03-20,65.13,76.91,64.61,72.23
2013-03-21,70.87,74.47,65,69.9
2013-03-22,68.81,72,50.09,63.9
2013-03-23,64.37,71,63.36,70.22
2013-03-24,70.22,80,69.25,75.11
2013-03-25,74.3,86,74.3,79.81
2013-03-26,79.81,89.99,78.75,89.3
2013-03-27,89.4,97,80,88.52
2013-03-28,88.96,94,84,90
2013-03-29,90.49,95,89.31,92.11
2013-03-30,92.12,96.15,92.12,96.15
2013-03-31,95.5,106.5,93.7,104.7
2013-04-01,103.73,116,100.1,116
2013-04-02,116,158.41,110,133.78
2013-04-03,133.87,150,119,135
2013-04-04,134.67,144,127.09,141.8
2013-04-05,141.8,150.03,138.5,141
2013-04-06,141,165.1,140.65,164.97
2013-04-07,164.97,198,162,185.6
2013-04-08,185.6,235.29,164.34,229
2013-04-09,228.94,259.34,70,162
2013-04-10,162,179,50,83.4
2013-04-11,81.02,112,45,109.9
2013-04-12,109.9,119,85,91.64
2013-04-13,90.44,99.99,81.94,91.11
2013-04-14,91.79,99.8,60,74
2013-04-15,73.99,82,49.8,68.09
2013-04-16,67.85,101.12,60,89.98
2013-04-17,89.98,111.23,78.92,109.3
2013-04-18,109.3,140.2,100,117.71
2013-04-19,118.11,129.79,114.27,126.55
2013-04-20,126.55,129,101,118.81
2013-04-21,118.91,125.01,116,123.74
2013-04-22,123.73,138.87,121.12,137.29
2013-04-23,137.3,161,134.98,149
2013-04-24,150,170.28,123.2,141.9
2013-04-25,141.9,142.53,126.68,137.3
2013-04-26,137.3,148.61,125.76,128.8
2013-04-27,128.8,148.18,121.57,135.28
2013-04-28,135.31,151.65,123.96,143.31
2013-04-29,143.32,144.99,133.89,139.88
2013-04-30,139.87,140.3,104.9,116.75
2013-05-01,116.75,127.24,93.01,106.81
2013-05-02,107.02,108,81.5,98.08
2013-05-03,98.08,115.64,94,112.62
2013-05-04,112.89,118.76,106.5,116.57
2013-05-05,116.9,123.97,105,112.71
2013-05-06,112.67,112.95,98.77,110
2013-05-07,110.92,116.29,109.41,113.16
2013-05-08,113.16,113.95,109,111.96
2013-05-09,111.96,119.98,109.2,117.9
2013-05-10,117.9,118.5,112.95,115.04
2013-05-11,115.58,117.86,113,114.5
2013-05-12,115.05,117.48,113.55,115.99
2013-05-13,115.98,117.9,103.5,107
2013-05-14,107,113,101.72,108.95
2013-05-15,108.96,113.35,108.35,113.35
2013-05-16,113.36,118.16,112.82,116.73
2013-05-17,117.51,118.55,115.99,118.49
2013-05-18,118.49,118.98,114.1,116.38
2013-05-19,117.27,118.94,114.03,116.55
2013-05-20,117.81,118.56,116.9,117.5
2013-05-21,117.25,119.48,117,119.11
2013-05-22,118.45,123.9,118.36,123.84
2013-05-23,123.84,129.94,122.52,128.7
2013-05-24,128.65,129.73,126.03,128.97
2013-05-25,128.98,130.29,127.97,129.5
2013-05-26,130.27,130.6,120.33,126.25
2013-05-27,126.2,127.11,123,125.92
